Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,261,1,2021-10-20,PHI,@,NOP,W 117-97,*,25:42,8,17,.471,2,3,.667,6,14,.429,.529,4,6,.667,1,5,6,5,1,1,1,3,22,17.7,4
2,262,2,2021-10-22,PHI,,BRK,L 109-114,*,29:43,6,15,.400,2,5,.400,4,10,.400,.467,5,6,.833,2,6,8,4,2,4,3,4,19,16.7,-4
3,263,3,2021-10-24,PHI,@,OKC,W 115-103,*,33:17,8,15,.533,2,5,.400,6,10,.600,.600,4,6,.667,1,8,9,6,1,3,0,2,22,23.5,10
4,264,4,2021-10-26,PHI,@,NYK,L 99-112,*,30:25,2,7,.286,0,2,.000,2,5,.400,.286,10,11,.909,1,5,6,3,1,1,5,1,14,10.1,-8
5,265,5,2021-10-28,PHI,,DET,W 110-102,*,30:58,8,19,.421,1,4,.250,7,15,.467,.447,13,15,.867,5,13,18,3,1,0,4,2,30,24.8,14
6,266,6,2021-10-30,PHI,,ATL,W 122-94,*,29:43,5,13,.385,1,4,.250,4,9,.444,.423,8,9,.889,0,5,5,2,0,1,2,1,19,12.7,21
6,,7,2021-11-01,PHI,,POR,W 113-103,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,267,8,2021-11-03,PHI,,CHI,W 103-98,*,34:05,6,18,.333,1,5,.200,5,13,.385,.361,5,9,.556,1,8,9,7,1,1,4,3,18,10.7,10
8,268,9,2021-11-04,PHI,@,DET,W 109-98,*,30:02,6,15,.400,0,0,,6,15,.400,.400,7,8,.875,4,5,9,3,1,0,2,3,19,14.7,-9
9,269,10,2021-11-06,PHI,@,CHI,W 114-105,*,34:02,11,19,.579,4,5,.800,7,14,.500,.684,4,7,.571,1,15,16,3,0,2,6,1,30,22.2,16
9,,11,2021-11-08,PHI,,NYK,L 96-103,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,12,2021-11-09,PHI,,MIL,L 109-118,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
