Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1144,1,2018-10-18,LAL,@,POR,L 119-128,*,37:20,9,16,.563,0,4,.000,9,12,.750,.563,8,9,.889,2,10,12,6,1,0,6,3,26,20.4,-4
2,1145,2,2018-10-20,LAL,,HOU,L 115-124,*,38:52,9,22,.409,1,7,.143,8,15,.533,.432,5,7,.714,0,5,5,5,2,1,1,0,24,18.1,-13
3,1146,3,2018-10-22,LAL,,SAS,L 142-143 (OT),*,42:52,11,25,.440,2,8,.250,9,17,.529,.480,8,11,.727,2,6,8,14,1,1,5,2,32,26.6,-5
4,1147,4,2018-10-24,LAL,@,PHO,W 131-113,*,28:04,7,16,.438,1,5,.200,6,11,.545,.469,4,4,1.000,0,7,7,10,3,0,0,1,19,22.3,19
5,1148,5,2018-10-25,LAL,,DEN,W 121-114,*,34:40,10,17,.588,1,5,.200,9,12,.750,.618,7,10,.700,0,11,11,11,3,0,2,3,28,29.7,13
6,1149,6,2018-10-27,LAL,@,SAS,L 106-110,*,34:18,13,21,.619,2,6,.333,11,15,.733,.667,7,8,.875,1,10,11,4,2,0,4,3,35,28.4,-1
7,1150,7,2018-10-29,LAL,@,MIN,L 120-124,*,36:16,11,23,.478,3,6,.500,8,17,.471,.543,4,5,.800,3,7,10,8,2,2,5,2,29,24.3,-6
8,1151,8,2018-10-31,LAL,,DAL,W 114-113,*,38:34,11,19,.579,2,3,.667,9,16,.563,.632,5,7,.714,0,5,5,6,3,0,3,3,29,23.8,5
9,1152,9,2018-11-03,LAL,@,POR,W 114-110,*,31:21,9,20,.450,1,5,.200,8,15,.533,.475,9,11,.818,0,5,5,7,0,2,3,1,28,21.2,-22
10,1153,10,2018-11-04,LAL,,TOR,L 107-121,*,28:17,6,12,.500,2,3,.667,4,9,.444,.583,4,7,.571,0,2,2,6,0,1,3,3,18,12.1,-16
11,1154,11,2018-11-07,LAL,,MIN,W 114-110,*,38:32,10,21,.476,3,9,.333,7,12,.583,.548,1,2,.500,1,10,11,9,0,2,3,1,24,20.9,3
12,1155,12,2018-11-10,LAL,@,SAC,W 101-86,*,31:17,10,18,.556,3,6,.500,7,12,.583,.639,2,3,.667,1,6,7,2,1,0,3,2,25,17.1,2
13,1156,13,2018-11-11,LAL,,ATL,W 107-106,*,34:18,10,20,.500,3,9,.333,7,11,.636,.575,3,7,.429,3,4,7,4,2,0,4,1,26,18.1,22
14,1157,14,2018-11-14,LAL,,POR,W 126-117,*,36:00,13,19,.684,5,6,.833,8,13,.615,.816,13,15,.867,2,8,10,9,1,3,4,0,44,44.3,4
15,1158,15,2018-11-17,LAL,@,ORL,L 117-130,*,25:53,8,19,.421,3,6,.500,5,13,.385,.500,3,4,.750,0,4,4,7,0,1,3,0,22,15.3,-11
16,1159,16,2018-11-18,LAL,@,MIA,W 113-97,*,38:29,19,31,.613,6,8,.750,13,23,.565,.710,7,10,.700,1,7,8,3,2,1,2,3,51,40.1,20
